ymd,company_code,store_code,item_code,supplier_code,qty,amount,host_created_on,host_updated_on,host_output_at,is_deleted
20191019,drg,0201843,4987343081261,S001,1,70,20211124,20211124,20211124000000,0
20191019,drg,0201464,4987343081261,S002,1,70,20211124,20211124,20211124000000,0
20191019,drg,0201335,4571116730274,S002,1,3,20211124,20211124,20211124000000,0
20191019,drg,0201464,4571116730274,S002,1,3,20211124,20211124,20211124000000,0
20191019,drg,0201843,4580225678452,S002,1,20,20211124,20211124,20211124000000,0
20191025,drg,0201843,4580225678452,S002,1,14,20211124,20211124,20211124000000,0
20191025,drg,0201464,4571116730274,S003,1,6,20211124,20211124,20211124000000,0
20191018,drg,0201464,4571116730274,S003,1,6,20211124,20211124,20211124000000,0
20191016,drg,0201843,4580225678452,S003,1,20,20211124,20211124,20211124000000,0
20191016,drg,0201335,4571116730274,S003,1,3,20211124,20211124,20211124000000,0
20191020,drg,0201843,4580225678452,S003,1,14,20211124,20211124,20211124000000,0
20191020,drg,0201306,4987343081285,S004,1,108,20211124,20211124,20211124000000,0
20191020,drg,0201410,4987343081285,S004,1,108,20211124,20211124,20211124000000,0
20191015,drg,0201843,4580225678452,S004,1,14,20211124,20211124,20211124000000,0
20191015,drg,0201306,4987343081285,S004,1,108,20211124,20211124,20211124000000,0
20191015,drg,0201464,4571116730274,S004,1,3,20211124,20211124,20211124000000,0
20191023,drg,0201306,4538067441420,S005,1,80,20211124,20211124,20211124000000,0
20191023,drg,0201464,4987343081261,S005,1,70,20211124,20211124,20211124000000,0
20191023,drg,0201306,4571116730274,S005,1,3,20211124,20211124,20211124000000,0
20191023,drg,0201843,4580225678452,S005,1,34,20211124,20211124,20211124000000,0
20191023,drg,0201464,4571116730274,S005,1,3,20211124,20211124,20211124000000,0
20191017,drg,0201464,4571116730274,S005,1,3,20211124,20211124,20211124000000,0
20191017,drg,0201301,4987343081308,S005,1,168,20211124,20211124,20211124000000,0
20191017,drg,0201843,4580225678452,S004,1,20,20211124,20211124,20211124000000,0
